Station ID,Station POI,Source,Latitude,Longitude,Status
"166904","Gulshan e Saeed Dera Ghazi Khan","Davis",30.026842,70.636196,"Inactive"
"166907","Muhammad Pur Dewan","Davis",29.478291,70.510503,"Active"
"169020","Ahmedpur East","Davis",29.143604,71.265441,"Active"
"178395","Kariala, Hafizabad","Davis",32.01634,73.69228,"Active"
"178386","Kot Ladha, gujranwala","Davis",32.11054,73.85483,"Inactive"
"166990","Dream Gardens, Multan","Davis",30.14921,71.42714,"Inactive"
"167006","Kot Qaisrani","Davis",30.79263,70.54899,"Active"
"192289","SSUET New Campus, Gadap Town, Karachi","Davis",24.96417,67.35165,"Disabled"
"202668","Chak Muzaffarabad Sargodha","Davis",32.27641,72.49418,"Active"
"236172","Pashtun Garhi","Davis",34.02081,71.83549,"Active"
"160777","Mehr Shah Khagga, Haveli Lakha","Davis",30.50772,73.80987,"Disabled"
"C7","Saddar, Rawalpindi","Misol",33.57586,73.05383,"Inactive"
"178475","Ghagoki, Phalia","Davis",32.480865,73.787552,"Inactive"
"178480","Kuthiala Khurd, Malakwal","Davis",32.502899,73.244461,"Active"
"IMURREE2","Murree","WU",33.91,73.39,"Disabled"
"167088","Taunsa City","Davis",30.70846968,70.6670752,"Active"
"167102","Kakriwali, Jallowali","Davis",31.2688686,70.6102631,"Active"
"169126","Garha More","Davis",30.04295,72.06254,"Active"
"C26","Kachnar Park I-8/3","Misol",33.67,73.08,"Inactive"
"205861","CMF-2 MPCL, Daharki","Davis",27.9643,69.72253,"Active"
"C4","Rawat, WW","Misol",33.48651,73.20168,"Active"
"C5","Kusak","Misol",32.709469,73.062061,"Inactive"
"168781","Khanpur bagga sher Muzaffargarh","Davis",30.14069,71.21053,"Inactive"
"C19","Dhok vaince Multan","Misol",30.382255,71.57221,"Active"
"185206","Sahiwal City","Davis",30.67251,73.08586,"Active"
"C22","Pansera","Misol",31.34182,72.85116,"Active"
"165326","Choa Saidan Shah","Davis",32.72031,72.98014,"Active"
"160873","Palm Villas, Jhang","Davis",31.26901,72.35789,"Active"
"163264","Chak Shahazad","Davis",33.66778,73.13283,"Active"
"C25","Ghauri Garden Islamabad","Misol",33.63,73.14,"Active"
"169407","Lakaband Zhob","Davis",31.00144,69.42613,"Inactive"
"169438","Qilla Saifullah","Davis",30.70553,68.35796,"Active"
"169455","Loralai","Davis",30.33446,68.55361,"Inactive"
"C6","F-11/4, Islamabad","Misol",33.6864689,72.99547944738951,"Disabled"
"221876","Kot Pindi Das Toll Plaza","Davis",31.69776,74.16658,"Active"
"160951","Bhalwal, Sargodha","Davis",32.23553,72.89515,"Inactive"
"221803","Sial morr Toll Plaza","Davis",31.97305,73.10802,"Active"
"169497","Barkhan","Davis",29.89749,69.5345,"Disabled"
"169500","KIlli Murradani, Kohlu","Davis",29.967409,69.394027,"Disabled"
"174130","Chak 16M Dunyapur","Davis",29.75412,71.7862,"Active"
"163360","Haroonabad","Davis",29.61294,73.13832,"Active"
"163347","Bahawalnagar City","Davis",29.99586,73.26972,"Active"
"169639","Quetta Airport, Emaan Housing Society","Davis",30.228583,66.953025,"Active"
"IKUNRI2","Chak Char","WU",24.91,69.49,"Inactive"
"165656","Harappa","Davis",30.5962,72.91798,"Active"
"174221","Iqbal Nagar Mian Channu","Davis",30.47854,72.44606,"Active"
"C8","Multan Khurd","Misol",33.077861,72.031667,"Active"
"C9","Dhurnal","Misol",32.80785,72.10176,"Active"
"C10","Dhok Zaman Chakrala","Misol",32.81501,71.80361,"Inactive"
"165665","Okara City","Davis",30.81861,73.46905,"Active"
"165726","Manga Mandi","Davis",31.29838,74.08138,"Active"
"165732","Bahria Town , Lahore","Davis",31.38505,74.18984,"Active"
