"station_id","location","province"
"130231","Mirpur city","punjab"
"134031","Bannu city","unknown"
"134038","Dera Ismael Khan","unknown"
"201736","Shaheen hotel, Fort Monroe","unknown"
"129498","Quetta Eastern Bypass","balochistan"
"134268","Gulshan-e-Hadeed Karachi","punjab"
"134297","PIB Colony Karachi","punjab"
"IKARAC41","Sujrani Town PWS WU","sindh"
"IISLAM21","I-10 WU","sindh"
"137535","Diamond Cricket Ground G-8/2","unknown"
"137991","Haji Abad Charsadda","punjab"
"IISLAM25","ISB","sindh"
"IISLAM26","F-8 Islamabad WU","sindh"
"146260","Shimshal Valley","unknown"
"147145","Kulsoom International, Islamabad","punjab"
"C3","D-17, Islamabad","unknown"
"147425","Askari-14, Sec. A, RWP","punjab"
"228127","Kot Momin Toll Plaza","unknown"
"150067","Block E, Satellite Town","punjab"
"150367","Farash Town, WW","unknown"
"150967","Islamia University Bahawalpur, WW","punjab"
"131812","Malian Kalan, Sheikhupura","punjab"
"129090","Gattar, Dina","islamabad"
"129952","Gujjar Khan","punjab"
"142628","Chak 23, Sargodha","punjab"
"139347","Chitti Shiekhan, Sialkot","punjab"
"133500","Kot Agha Jajjah, Pasrur","punjab"
"217831","Saima Arabian Villas, Surjani, Karachi","punjab"
"216612","Chakri Toll Plaza","punjab"
"221544","Balkasar Toll Plaza","punjab"
"221563","Islamabad toll plaza","punjab"
"221555","Neela dulha","punjab"
"221695","Kallar Kahar","punjab"
"221726","Bhera","punjab"
"221703","Lillah Interchange","punjab"
"221746","Salam","punjab"
"221873","Ravi Toll Plaza","punjab"
"221910","Khanqa Dograh Toll Plaza","punjab"
"221938","Pindi Bhattian Toll Plaza","punjab"
